Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Hillside,105 Community Hub,3,h,781500,S,YPA,2017-09-23,18.0,3037,3,2,2,666,139,1970,Brimbank City Council,-37.70161,144.7533,Western Metropolitan,5556
Brighton East,2/13 Tatong Rd,3,h,1056532,S,Marshall,2016-05-07,10.7,3187,3,2,2,196,115,2009,Bayside City Council,-37.9302,145.029,Southern Metropolitan,6938
Glen Iris,43 Albion Rd,4,h,1997500,S,Marshall,2018-02-17,7.3,3146,4,2,2,621,216,1945,Boroondara City Council,-37.86544,145.06739,Southern Metropolitan,10412
Oak Park,74a Winifred St,3,u,600000,SP,Brad,2016-08-13,11.5,3046,3,1,2,581,139,1970,Moreland City Council,-37.71667,144.91368166666666,Northern Metropolitan,2651
Beaumaris,17A Towers St,4,h,1140000,S,Hodges,2017-10-14,17.3,3193,4,2,2,790,171,1995,Bayside City Council,-37.97501,145.05257,Southern Metropolitan,5366
Kensington,37 Cakebread Mw,4,h,1200000,S,Nelson,2017-02-25,4.2,3031,3,1,2,88,216,1970,Melbourne City Council,-37.793755000000004,144.93149666666667,Northern Metropolitan,5263
Mont Albert,1/12 Hotham St,2,u,850000,SP,hockingstuart,2017-09-09,10.2,3127,2,1,1,2243,92,1970,Boroondara City Council,-37.81452,145.10884,Eastern Metropolitan,2079
Coburg,25 Stock St,3,h,1056532,S,Jellis,2017-09-09,6.7,3058,3,2,2,419,139,1970,Darebin City Council,-37.73538,144.96261,Northern Metropolitan,11204
Bulleen,25 William St,4,h,1235000,S,Jellis,2016-09-03,11.8,3105,4,2,2,556,214,1957,Manningham City Council,-37.7657,145.0957,Eastern Metropolitan,4480
Bentleigh East,50a Brady Rd,3,u,905000,SP,Woodards,2017-08-26,13.8,3165,3,2,2,501,139,1970,Glen Eira City Council,-37.93199,145.06646,Southern Metropolitan,10969
Hoppers Crossing,7 Ashton Cr,3,h,471000,S,Triwest,2017-07-01,18.4,3029,3,1,2,570,139,1970,Wyndham City Council,-37.86568181818182,144.6892309090909,Western Metropolitan,13830
Flemington,15 Brighton St,3,h,1056532,S,Nelson,2018-02-10,3.4,3031,3,1,2,107,139,1970,Melbourne City Council,-37.78528,144.9297,Northern Metropolitan,3593
Werribee,4 Queens Ct,3,h,1056532,SN,Barry,2017-09-16,14.7,3030,3,2,3,687,139,1970,Wyndham City Council,-37.89529,144.67351,Western Metropolitan,16166
Reservoir,4/7 Oconnor St,1,u,341000,PI,Ray,2016-11-07,11.2,3073,1,1,1,125,52,1970,Darebin City Council,-37.711,145.0052,Northern Metropolitan,21650
